id,followers,genres,name,popularity,img_url_640,img_url_320,img_url_160
40VZtOKdJ2J5KzjCBUhQpJ,15390.0,['german hip hop'],Rödelheim Hartreim Projekt,30,https://i.scdn.co/image/ab6761610000e5ebb58100b3193ea4840ebe0ccd,https://i.scdn.co/image/ab67616100005174b58100b3193ea4840ebe0ccd,https://i.scdn.co/image/ab6761610000f178b58100b3193ea4840ebe0ccd
5tRk0bqMQubKAVowp35XtC,243949.0,[],MC 張天賦,35,https://i.scdn.co/image/ab6761610000e5eb75fa25932958a8cef67ffcfd,https://i.scdn.co/image/ab6761610000517475fa25932958a8cef67ffcfd,https://i.scdn.co/image/ab6761610000f17875fa25932958a8cef67ffcfd
3iamDPaou6RYgX0C43Qm6j,9684.0,['classical organ'],Karl Richter,53,https://i.scdn.co/image/229246814abd156d30450126be0e3d5de1f18c97,,
6Mv3vVeRt0ceyptR8xtbEP,30591.0,[],Mietta,42,https://i.scdn.co/image/ab67616d0000b2730d074b9cf589b11f2c410445,,
6twpEEji2G0aLobd5ZG1yb,1901.0,"['cosmic uplifting trance', 'progressive uplifting trance', 'russian trance']",Elite Electronic,18,https://i.scdn.co/image/ab67616d0000b27353981b6d87b18d4bf4150be4,,
5OYkaab5KaJZPdZF6knfJQ,21741.0,"['pop costarricense', 'reggae tico']",DJ Kendo,35,https://i.scdn.co/image/ab6761610000e5eb5a8c4fae01fcd8af4227f94a,https://i.scdn.co/image/ab676161000051745a8c4fae01fcd8af4227f94a,https://i.scdn.co/image/ab6761610000f1785a8c4fae01fcd8af4227f94a
7zfhej6FnVXN9LIXs6dcoK,98855.0,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'new wave pop', 'soft rock', 'zolo']",The Tubes,47,https://i.scdn.co/image/ab6761610000e5ebc645d75ea79ed9470c381855,https://i.scdn.co/image/ab67616100005174c645d75ea79ed9470c381855,https://i.scdn.co/image/ab6761610000f178c645d75ea79ed9470c381855
4mZ4qW2RrJS1nmHvltMvJ2,245651.0,"['colombian pop', 'latin', 'pop reggaeton']",Bonka,46,https://i.scdn.co/image/ab67616d0000b2733edfcbb13ee5708ea839d8eb,,
6oAqyhJILwJf9S3Of2zTuv,628995.0,"['brazilian hip hop', 'brazilian reggae', 'brazilian rock']",Tribo De Jah,49,https://i.scdn.co/image/ab6761610000e5eb57f660ed90cff72eae53f22d,https://i.scdn.co/image/ab6761610000517457f660ed90cff72eae53f22d,https://i.scdn.co/image/ab6761610000f17857f660ed90cff72eae53f22d
3QQa8Lj27NH3DcZZSE5rLN,2306.0,"['bulgarian rock', 'classic bulgarian pop']",Django Ze,15,https://i.scdn.co/image/ab67616d0000b273c892ef55b5c0aac3c4e6b5ec,,
0HgICyWHmS6rnl8xWEd0x6,128.0,"['banda', 'corrido', 'nuevo regional mexicano', 'regional mexican']",Banda Los Sebastianes,67,https://i.scdn.co/image/ab6761610000e5eba9489bb469b2361ea1aa9ce4,https://i.scdn.co/image/ab67616100005174a9489bb469b2361ea1aa9ce4,https://i.scdn.co/image/ab6761610000f178a9489bb469b2361ea1aa9ce4
55CCS64lPz88twUDVquU1u,40753.0,"['adult standards', 'easy listening', 'lounge']",Roger Williams,50,https://i.scdn.co/image/ab6761610000e5eb77943f504cccf0ca4083eed0,https://i.scdn.co/image/ab6761610000517477943f504cccf0ca4083eed0,https://i.scdn.co/image/ab6761610000f17877943f504cccf0ca4083eed0
4By80N6Pqew9qI5O8dpfFM,723.0,[],Johnny Guarnieri,14,https://i.scdn.co/image/ab67616d0000b27369015916f37262b93cdeb3cc,,
2v0ECQG7tTDA2nDcaK92N3,20317.0,"['j-metal', 'japanese heavy metal']",EARTHSHAKER,29,https://i.scdn.co/image/ab6761610000e5eb167cb53e7d75118bc97e407b,https://i.scdn.co/image/ab67616100005174167cb53e7d75118bc97e407b,https://i.scdn.co/image/ab6761610000f178167cb53e7d75118bc97e407b
1dYgdOMg4XebDBOo7EsnCe,13847.0,"['lithuanian pop', 'lithuanian rock']",FOJE,32,https://i.scdn.co/image/ab67616d0000b273e340281b4833fc5c29d89178,,
3hWuWrOOgSCDkP5iqEHxMy,1515543.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",Israel Novaes,51,https://i.scdn.co/image/ab6761610000e5eb4e63722ba6324735bd7e49d3,https://i.scdn.co/image/ab676161000051744e63722ba6324735bd7e49d3,https://i.scdn.co/image/ab6761610000f1784e63722ba6324735bd7e49d3
